English	Japanese	Source	SourceKind	DsdType
"No rest in Dawnstar"?	「ドーンスターに安らぎはない」とは？	skyrim_taiyaku_250627	reference	Reference FULL
"Nothing changes in the city of stone...." –– Amanda Alleia, A Sellsword's Guide to Markarth	" 石の街は何も変わらない… " ――アマンダ・アレイア、傭兵によるマルカルスガイド	skyrim_taiyaku_250627	reference	Reference FULL
"One of the Jarl's men"?	“首長の部下”だって？	skyrim_taiyaku_250627	reference	Reference FULL
"Out of this time also rose one of the most legendary of all Tamrielic figures, Ysgramor, from whom all Nordic kings to this day are descended." –– Unknown, Pocket Guide to the Empire	" この時代にタムリエルの伝説上の偉人たちの中でも最も偉大であり、今日のノルドの王たちすべての先達であるイスグラモルが現れた。 " ――筆者不明、帝国へのポケットガイド	skyrim_taiyaku_250627	reference	Reference FULL
"Pelagius III, sometimes called Pelagius the Mad, was proclaimed Emperor in the 145th year of the Third Era." –– Stronach k'Thojj III, Brief History of the Empire vol. II	" 狂王ペラギウスとして知られるペラギウス三世は、第三紀145年に即位した。 " ――ストロナッハ・コージュ三世、帝国の略歴 第2巻	skyrim_taiyaku_250627	reference	Reference FULL
"Questing heroes of all stripes seek after the fabled Daedric artifacts for their potent combat and magical benefits." –– Haderus of Gottlesfont, from Modern Heretics	" とりわけ冒険家と呼ばれる人種は、伝説に名高いデイドラの秘宝の武器としての、もしくは魔法的な利点を追い求める傾向にある。 " ――ゴトルフォントのハデラス、「現代の異端者」より	skyrim_taiyaku_250627	reference	Reference FULL
"Seen my coming"? What do you mean?	知っていた？ どういうことだ？	skyrim_taiyaku_250627	reference	Reference FULL
"Skyrim, also known as the Old Kingdom or the Fatherland, was the first region of Tamriel settled by humans... " –– Unknown, Provinces of Tamriel	" オールド・キングダム、またはファーザーランドとしても知られるスカイリムは、タムリエルの中でも最初に人間たちによって入植地化された… " ――筆者不明、タムリエルの各地方	skyrim_taiyaku_250627	reference	Reference FULL
"Sweet Mother, sweet Mother, send your child unto me, for the sins of the unworthy must be baptized in blood and fear." –– chant from the Dark Brotherhood's Black Sacrament	" 愛しの母、愛しの母、あなたの子供を私の元へ届けてください。卑しい者の罪を血と恐怖をもって清めなければならないのです " ――闇の一党の黒き聖餐の一節	skyrim_taiyaku_250627	reference	Reference FULL
"The best techniques are passed on by the survivors." –– Gaiden Shinji, 1E 490	" 最良の戦術は生き残った者によって伝えられていく。 " ――ガイデン・シンジ、第1紀490年	skyrim_taiyaku_250627	reference	Reference FULL
"Time between shouts is reduced 20%. "	"シャウトの間隔が20%短くなる。"	skyrim_taiyaku_250627	reference	Reference FULL
"Time between shouts is reduced <mag>%."	"シャウトの間隔が <mag> %短くなる。"	skyrim_taiyaku_250627	reference	Reference FULL
"Tradition has it that the Nords came to Tamriel from the continent of Atmora in ancient days." –– Unknown, Pocket Guide to the Empire	" 伝承によれば、ノルドたちは太古にアトモーラ大陸からタムリエルにやって来たとされている。 " ――筆者不明、帝国へのポケットガイド	skyrim_taiyaku_250627	reference	Reference FULL
"Transaction value: %d gold. / Vendor only has %d gold."	"取引価格: %d ゴールド / 売り手は %d ゴールドしか持っていません。"	skyrim_taiyaku_250627	reference	Reference FULL
"Upon my honor I do swear undying loyalty to the Emperor, Titus Mede II..."	「名誉にかけて、タイタス・ミード2世陛下への変わらぬ忠誠を誓います…」	skyrim_taiyaku_250627	reference	Reference FULL
"Upon my honor I do swear undying loyalty to the Emperor..."	「名誉にかけて、陛下への変わらぬ忠誠を誓います…」	skyrim_taiyaku_250627	reference	Reference FULL
"White–Gold Concordat"? What's that?	“白金協定”？ それは何だ？	skyrim_taiyaku_250627	reference	Reference FULL
"You have not discovered this location yet. Place marker?"	"この場所はまだ発見していません。マーカーを設置しますか？"	skyrim_taiyaku_250627	reference	Reference FULL
%d%s REPAIR SKILL NEEDED	%d%s修理スキルが必要	skyrim_taiyaku_250627	reference	Reference FULL
%i  -->Dragon Soul -->	ドラゴンソウル： %i	skyrim_taiyaku_250627	reference	Reference FULL
%i Dragon Souls	ドラゴンソウル： %i	skyrim_taiyaku_250627	reference	Reference FULL
%s Bounty	%sの賞金額	skyrim_taiyaku_250627	reference	Reference FULL
%s Increased to %i	%sが%iに上昇	skyrim_taiyaku_250627	reference	Reference FULL
%s discovered from %s	%s 効果を %s から発見。	skyrim_taiyaku_250627	reference	Reference FULL
%s has worn off.	%sがすり減った。	skyrim_taiyaku_250627	reference	Reference FULL
%s increased by %d	%sが%d上昇	skyrim_taiyaku_250627	reference	Reference FULL
%s is too powerful for %s.	%sには%sが効きそうにない。	skyrim_taiyaku_250627	reference	Reference FULL
%s resisted %s.	%sは%sに抵抗した。	skyrim_taiyaku_250627	reference	Reference FULL
%s signal found.	%sシグナルを発見。	skyrim_taiyaku_250627	reference	Reference FULL
%s signal lost.	%sシグナルを失う。	skyrim_taiyaku_250627	reference	Reference FULL
(Cut the captive's bonds)	(捕虜の拘束を解く)	skyrim_taiyaku_250627	reference	Reference FULL
(Do not read)	読まない	skyrim_taiyaku_250627	reference	Reference FULL
(Give poem)	(詩を渡す)	skyrim_taiyaku_250627	reference	Reference FULL
(Hand him the axe)	(斧を手渡す)	skyrim_taiyaku_250627	reference	Reference FULL
(Hand over 200 gold)	(200ゴールドを渡す)	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue / Invisible Walk Away)	(見えないまま／見えない状態で立ち去る)	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue / Walk Away)	(見えないまま／立ち去る)	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue)	(見えないまま)	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue) Difficulty based on Attack Dela	(見えないまま)デルタアタックの課題	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue) Difficulty based on Attack Delta	(見えないまま)難易度はデルタアタックしだいだな	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue) Location of Attack	(見えないまま)攻撃が行われる場所	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continue)(Forced Goodbye) Time Limit to Attack	(見えないまま)(強制的に会話終了)攻撃が始まるまでの時間	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Continues Linked to Self)	(見えないまま、自身にリンクする)	skyrim_taiyaku_250627	reference	Reference FULL
(Invisible Walk Away)	(見えない状態で立ち去る)	skyrim_taiyaku_250627	reference	Reference FULL
(Listen at the door)	(扉に耳を澄ませる)	skyrim_taiyaku_250627	reference	Reference FULL
(Min Lvl 2) Hey you there, take this	(Min Lvl 2)おい、そこの君。これを	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Attempt to pick the lock to the cage	(オプション)檻の鍵を開ける	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Destroy the Summerset Shadow's Banner	(オプション)サマーセット・シャドウズの旗を破壊する	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Discover leverage to sway Niranye	(オプション)ニラナイを揺さぶる何かを見つける	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Drag Balagog's body to a hiding place	(オプション)バラゴグの死体を樽の中に隠す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Enter Goldenglow using sewer	(オプション)下水道を通ってゴールデングロウに入る	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Find Skorm Snow–Strider's journal	(オプション)スコルム・スノー・ストライダーの日記を見つける	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Find the key to the well in the Catacombs	(オプション)地下墓地の壁を開く鍵を見つける	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Free Orthorn	(オプション)オーソーンを解放する	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Kill Amaund Motierre	(オプション)アマウンド・モティエールを殺す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Kill Commander Maro	(オプション)マロ指揮官を殺す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Kill Nilsine Shatter–Shield	(オプション)ニルシン・シャッター・シールドを殺す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Learn more about the theft in Frostmere Crypt	(オプション)フロストミヤ墓地の泥棒についてもっと調べる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Obtain the key to Aringoth's safe	(オプション)アリンゴスの金庫の鍵を手に入れる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Obtain the key to Calcelmo's Museum	(オプション)カルセルモの博物館の鍵を手に入れる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Obtain the key to Margret's room	(オプション)マルグレットの部屋の鍵を手に入れる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Obtain the key to Weylin's room	(オプション)ウェイリンの部屋の鍵を手に入れる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Protect Golldir	(オプション)ゴルディールを守る	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Retrieve Nystrom's Journal	(オプション)ニストロムの日記を回収する	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Retrieve the Blade of Woe	(オプション)悲痛の短剣を取る	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Retrieve your gear	(オプション)預けていた装備を入手する	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Search the barrel for potions	(オプション)樽からポーションを入手する	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Shoot the mechanism to lower the ramp	(オプション)装置を撃ってタラップを降ろす	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Show Skorm Snow–Strider's journal to Valmir	(オプション)ヴァルミルにスコルム・スノー・ストライダーの日記を見せる	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Smash Bersi's prized Dwarven Urn	(オプション)ベルシの貴重なドワーフの壷を粉々にする	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Speak to Brynjolf	(オプション)ブリニョルフと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Speak to Vex about Goldenglow Estate	(オプション)ゴールデングロウ農園についてヴェックスと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Speak to Vex about Vald	(オプション)ヴァルドについてヴェックスと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Steal Gaius Maro's travel schedule	(オプション)ガイアス・マロの予定表を盗む	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Steal Haelga's Statue of Dibella	(オプション)ヘルガのディベラ像を盗む	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Steal the Lodge Stash	(オプション)宿屋の金庫から宝を盗む	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Talk to Arngeir	(オプション)アーンゲールと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Talk to Esbern	(オプション)エズバーンと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Talk to Margret	(オプション)マルグレットと話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Tell Faendal about Sven's letter	(オプション)ファエンダルにスヴェンの手紙のことを話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Tell Sven about Faendal's letter	(オプション)スヴェンにファエンダルの手紙のことを話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Tell the Jarl about Helgi	(オプション)ヘルギのことを首長に話す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Travel to Riverwood with <Alias=FactionFriend>	(オプション) <Alias=FactionFriend> とリバーウッドへ行く	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Use Talen–Jei to get to Keerava	(オプション)タレン・ジェイからキーラバの情報を得る	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Use your new Shout power	(オプション)新たなシャウトを使う	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Wipe out the Glenmoril Witches	(オプション)グレンモリルの魔女を全員殺す	skyrim_taiyaku_250627	reference	Reference FULL
(Optional) Wipe out the Silver Hand	(オプション)シルバーハンドを一掃する	skyrim_taiyaku_250627	reference	Reference FULL
(Remain silent)	(黙っている)	skyrim_taiyaku_250627	reference	Reference FULL
(Sharedinfo)	(共有情報)	skyrim_taiyaku_250627	reference	Reference FULL
(Show Astrid the amulet and sealed letter)	(アストリッドにアミュレットと封書を見せる)	skyrim_taiyaku_250627	reference	Reference FULL
(Show Maro the Gourmet's Writ of Passage)	(マロ指揮官に美食家の通行証を見せる)	skyrim_taiyaku_250627	reference	Reference FULL
(Unknown Effect)	(効果不明)	skyrim_taiyaku_250627	reference	Reference FULL
(Walk away)	(立ち去る)	skyrim_taiyaku_250627	reference	Reference FULL
(forcegreet)	(強制会話)	skyrim_taiyaku_250627	reference	Reference FULL
(temp) Gameplay Placeholder	(temp) Gameplay Placeholder	skyrim_taiyaku_250627	reference	Reference FULL
+<mag> Speechcraft for <dur> seconds.	<dur> 秒間、話術スキルが <mag> ポイント増加する。	skyrim_taiyaku_250627	reference	Reference FULL
+<mag> Speechcraft.	話術スキルが <mag> ポイント増加する。	skyrim_taiyaku_250627	reference	Reference FULL
+<mag> damage resistance, if wearer is undead.	着用者がアンデッドの場合、ダメージ耐性+ <mag> 。	skyrim_taiyaku_250627	reference	Reference FULL
+<mag> magicka, if wearer is undead.	着用者がアンデッドの場合、マジカ+ <mag> 。	skyrim_taiyaku_250627	reference	Reference FULL
-->2920, Morning Star, v1 -->	2920 暁星の月、1巻	skyrim_taiyaku_250627	reference	Reference FULL
-->A Tragedy in Black -->	ブラックでの悲劇	skyrim_taiyaku_250627	reference	Reference FULL
-->Abelone -->	アワビ	skyrim_taiyaku_250627	reference	Reference FULL
-->Ale -->	エール	skyrim_taiyaku_250627	reference	Reference FULL
-->Alpha Wolf -->	アルファウルフ	skyrim_taiyaku_250627	reference	Reference FULL
-->Alto Wine -->	アルトワイン	skyrim_taiyaku_250627	reference	Reference FULL
-->Amethyst -->	アメジスト	skyrim_taiyaku_250627	reference	Reference FULL
-->Annals of the Dragonguard -->	ドラゴンガードの歴史	skyrim_taiyaku_250627	reference	Reference FULL
-->Anvil -->	金床	skyrim_taiyaku_250627	reference	Reference FULL
-->Apple Cabbage Stew -->	アップルキャベツのシチュー	skyrim_taiyaku_250627	reference	Reference FULL
-->Argonian Account, Book 1 -->	アルゴニアン報告 第1巻	skyrim_taiyaku_250627	reference	Reference FULL
-->Argonian Account, Book 2 -->	アルゴニアン報告 第2巻	skyrim_taiyaku_250627	reference	Reference FULL
-->Argonian Account, Book 3 -->	アルゴニアン報告 第3巻	skyrim_taiyaku_250627	reference	Reference FULL
-->Atronach Forge Recipe -->	精霊の鋳造器具のレシピ	skyrim_taiyaku_250627	reference	Reference FULL
-->Bear -->	クマ	skyrim_taiyaku_250627	reference	Reference FULL
-->Bent Dwemer Scrap Metal -->	ドゥーマーの曲がった金属くず	skyrim_taiyaku_250627	reference	Reference FULL
-->Bits and Pieces -->	ビッツ・アンド・ピーセズ	skyrim_taiyaku_250627	reference	Reference FULL
-->Blackreach	ブラックリーチ	skyrim_taiyaku_250627	reference	Reference FULL
-->Black–Briar Mead -->	ブラック・ブライアのハチミツ酒	skyrim_taiyaku_250627	reference	Reference FULL
-->Black–Briar Reserve -->	ブラック・ブライアのリザーブ	skyrim_taiyaku_250627	reference	Reference FULL
-->Boiled Creme Treat -->	クリーム煮	skyrim_taiyaku_250627	reference	Reference FULL
-->Darkest Darkness	最も深い闇	skyrim_taiyaku_250627	reference	Reference FULL
-->Death Blow of Abernanit -->	アベルナニット必殺の一撃	skyrim_taiyaku_250627	reference	Reference FULL
-->Do Not Delete -->	削除不可	skyrim_taiyaku_250627	reference	Reference FULL
-->Dog -->	イヌ	skyrim_taiyaku_250627	reference	Reference FULL
-->Dog Meat -->	イヌの肉	skyrim_taiyaku_250627	reference	Reference FULL
-->Dragon Bone	ドラゴンの骨	skyrim_taiyaku_250627	reference	Reference FULL
-->Dragon Soul --> Absorbed	ドラゴンソウルを吸収した	skyrim_taiyaku_250627	reference	Reference FULL
-->Dunmer of Skyrim	スカイリムのダンマー	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Bolt	ドゥーマー・ボルト	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Bowl	ドゥーマーの器	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Cog	ドゥーマーのコグ	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Convector	ドゥーマーの暖房器	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Cup	ドゥーマーのカップ	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Dish	ドゥーマーの大皿	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Gear	ドゥーマーの歯車	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Gyro	ドゥーマーのジャイロ	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Lever	ドゥーマーのレバー	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Lockbox	ドゥーマーの鍵付きの箱	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Plate	ドゥーマーの皿	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Puzzle Cube	ドゥーマーのパズルキューブ	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Scrap Metal -->	ドゥーマーの金属くず	skyrim_taiyaku_250627	reference	Reference FULL
-->Dwemer Torture Device	ドゥーマーの拷問器具	skyrim_taiyaku_250627	reference	Reference FULL
-->EBONY -->	黒檀	skyrim_taiyaku_250627	reference	Reference FULL
-->Ebony Ingot -->	黒檀のインゴット	skyrim_taiyaku_250627	reference	Reference FULL
-->Ebony Mail	黒檀の鎖帷子	skyrim_taiyaku_250627	reference	Reference FULL
-->Ebony Ore -->	黒檀の鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Ebony Ore Vein	黒檀の鉱脈	skyrim_taiyaku_250627	reference	Reference FULL
-->Ebony Sword	黒檀の剣	skyrim_taiyaku_250627	reference	Reference FULL
-->Elder Scroll -->	-->星霜の書 -->	skyrim_taiyaku_250627	reference	Reference FULL
-->Embalming Tool -->	エンバーミング・ツール	skyrim_taiyaku_250627	reference	Reference FULL
-->Empty Skooma Bottle -->	空のスクゥーマボトル	skyrim_taiyaku_250627	reference	Reference FULL
-->Empty Wine Bottle -->	空のワインボトル	skyrim_taiyaku_250627	reference	Reference FULL
-->Evidence Chest	証拠保管庫	skyrim_taiyaku_250627	reference	Reference FULL
-->Falmer	ファルメル	skyrim_taiyaku_250627	reference	Reference FULL
-->Fast Travel -->	高速移動	skyrim_taiyaku_250627	reference	Reference FULL
-->Felldir the Old	古きフェルディル	skyrim_taiyaku_250627	reference	Reference FULL
-->Firewood -->	薪	skyrim_taiyaku_250627	reference	Reference FULL
-->Fork -->	フォーク	skyrim_taiyaku_250627	reference	Reference FULL
-->Forsworn -->	フォースウォーン	skyrim_taiyaku_250627	reference	Reference FULL
-->Forsworn Missive -->	-->フォースウォーンの書状 -->	skyrim_taiyaku_250627	reference	Reference FULL
-->Fresh Meat -->	新鮮な肉	skyrim_taiyaku_250627	reference	Reference FULL
-->Goat -->	ヤギ	skyrim_taiyaku_250627	reference	Reference FULL
-->Gold Ingot -->	金のインゴット	skyrim_taiyaku_250627	reference	Reference FULL
-->Gold Ore -->	金鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Grain Mill -->	-->グラインダー -->	skyrim_taiyaku_250627	reference	Reference FULL
-->Grindstone -->	砥石	skyrim_taiyaku_250627	reference	Reference FULL
-->Hall of the Vigilant	番人の間	skyrim_taiyaku_250627	reference	Reference FULL
-->Headless Horseman	首のない乗り手	skyrim_taiyaku_250627	reference	Reference FULL
-->Honorhall Orphanage -->	オナーホール孤児院	skyrim_taiyaku_250627	reference	Reference FULL
-->Horker Attacks	ホーカーの襲撃	skyrim_taiyaku_250627	reference	Reference FULL
-->Horn of Jurgen Windcaller	ユルゲン・ウィンドコーラーの角笛	skyrim_taiyaku_250627	reference	Reference FULL
-->Hunter	狩人	skyrim_taiyaku_250627	reference	Reference FULL
-->Hunting Bow	狩猟弓	skyrim_taiyaku_250627	reference	Reference FULL
-->Incident at Necrom -->	ネクロム事件	skyrim_taiyaku_250627	reference	Reference FULL
-->Incinerate	ファイアボール	skyrim_taiyaku_250627	reference	Reference FULL
-->Iron Ingot -->	鉄のインゴット	skyrim_taiyaku_250627	reference	Reference FULL
-->Iron Ore -->	鉄の鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Jessica's Wine -->	ジェシカのワイン	skyrim_taiyaku_250627	reference	Reference FULL
-->King Olaf's Verse -->	オラフ王の詩歌	skyrim_taiyaku_250627	reference	Reference FULL
-->Kyne -->	カイネ	skyrim_taiyaku_250627	reference	Reference FULL
-->Large Decorative Dwemer Strut -->	ドゥーマーの大きな装飾柱	skyrim_taiyaku_250627	reference	Reference FULL
-->Large Dwemer Plate Metal -->	ドゥーマーの大きな金属プレート	skyrim_taiyaku_250627	reference	Reference FULL
-->Large Dwemer Strut -->	ドゥーマーの大きな柱	skyrim_taiyaku_250627	reference	Reference FULL
-->Leg of Goat -->	ヤギの足	skyrim_taiyaku_250627	reference	Reference FULL
-->Leg of Goat Roast -->	ヤギの足のロースト	skyrim_taiyaku_250627	reference	Reference FULL
-->Lymdrenn Tenvanni's Journal -->	リムドレン・トレヴァンニの日記	skyrim_taiyaku_250627	reference	Reference FULL
-->Malachite Ore	クジャク石の鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Mead with Juniper Berry -->	ジュニパーベリー入りのハチミツ酒	skyrim_taiyaku_250627	reference	Reference FULL
-->Meeko -->	ミーコ	skyrim_taiyaku_250627	reference	Reference FULL
-->Moonstone Ore	月長石の鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Mysterious Akavir	アカヴィルの不思議	skyrim_taiyaku_250627	reference	Reference FULL
-->Mysterious Note	奇妙なメモ	skyrim_taiyaku_250627	reference	Reference FULL
-->Mysterium Xarxes	ザルクセスの神秘の書	skyrim_taiyaku_250627	reference	Reference FULL
-->N'Gasta! Kvata! Kvakis! -->	ガスタ クバタ クバキス	skyrim_taiyaku_250627	reference	Reference FULL
-->New Gnisis Cornerclub	ニューグニシス・コーナークラブ	skyrim_taiyaku_250627	reference	Reference FULL
-->Nord Mead -->	ノルド・ハチミツ酒	skyrim_taiyaku_250627	reference	Reference FULL
-->Notched Pickaxe	刻み目のあるつるはし	skyrim_taiyaku_250627	reference	Reference FULL
-->On Oblivion -->	オブリビオンについて	skyrim_taiyaku_250627	reference	Reference FULL
-->Orichalcum Ingot -->	オリハルコンのインゴット	skyrim_taiyaku_250627	reference	Reference FULL
-->Orichalcum Ore -->	オリハルコンの鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Paarthurnax -->	パーサーナックス	skyrim_taiyaku_250627	reference	Reference FULL
-->Pacify	魅了	skyrim_taiyaku_250627	reference	Reference FULL
-->Paralysis	麻痺	skyrim_taiyaku_250627	reference	Reference FULL
-->Peace	平和	skyrim_taiyaku_250627	reference	Reference FULL
-->Perks -->	能力	skyrim_taiyaku_250627	reference	Reference FULL
-->Petty Soul Gem	極小魂石	skyrim_taiyaku_250627	reference	Reference FULL
-->Plate -->	皿	skyrim_taiyaku_250627	reference	Reference FULL
-->Poacher's Axe -->	密猟者の斧	skyrim_taiyaku_250627	reference	Reference FULL
-->Pot -->	壺	skyrim_taiyaku_250627	reference	Reference FULL
-->Prowler's Profit -->	プロウラーの利益	skyrim_taiyaku_250627	reference	Reference FULL
-->Quicksilver Ingot -->	水銀のインゴット	skyrim_taiyaku_250627	reference	Reference FULL
-->Quicksilver Ore	水銀の鉱石	skyrim_taiyaku_250627	reference	Reference FULL
-->Refined Malachite -->	研磨されたクジャク石	skyrim_taiyaku_250627	reference	Reference FULL
-->Remanada -->	レマナーダ	skyrim_taiyaku_250627	reference	Reference FULL
-->Roasted Ox Head -->	雄牛の頭のロースト	skyrim_taiyaku_250627	reference	Reference FULL
-->Roasted Ox Leg -->	雄牛の足のロースト	skyrim_taiyaku_250627	reference	Reference FULL
-->Salt Pile -->	塩	skyrim_taiyaku_250627	reference	Reference FULL
-->Sapphire -->	サファイア	skyrim_taiyaku_250627	reference	Reference FULL
-->Shiv -->	-->ナイフ -->	skyrim_taiyaku_250627	reference	Reference FULL
-->Shor's Watchtower -->	ショール監視塔	skyrim_taiyaku_250627	reference	Reference FULL
-->Silenced Tongues	薄く切った舌	skyrim_taiyaku_250627	reference	Reference FULL
